name,ref,es_acc1,es_acc2,v2_acc1,v3_acc1,v2_acc2,v3_acc2,first_lock_s,lane_hops,flips_smoothed
Poni Punkflwr & Fisherboi - Pink Tongue (Original Mix).mp3,166.0,False,True,False,True,True,True,2.0,0.5,4.0
Poni Punkflwr & Fisherboi - The 2nd Rip (Original Mix).mp3,171.0,False,True,False,True,True,True,2.0,1.0,1.0
Roderic H - Miss You (Original Mix).mp3,174.0,False,True,False,True,True,True,2.0,13.0,21.0
Rodney Kamal Jackson - Turista (Original Mix).mp3,100.0,True,True,False,False,True,True,2.0,0.0,1.0
Route 94 ft Jess Glynne - My Love (Catchfraze Remix).mp3,173.0,False,True,False,True,True,True,2.0,5.5,9.5
Sn - No10 Get The Fuck Out (Original Mix).mp3,174.0,False,True,False,True,True,True,2.0,2.0,4.5
Sn - Witch Turning To Myth (Original Mix).mp3,170.0,True,True,False,False,True,False,2.0,17.0,18.0
Unsolicited Thoughts - The Day Phil Collins Stopped Caring (Original Mix).mp3,148.0,False,True,False,False,True,False,2.0,0.5,3.0
d - Kennys Sister (Original Mix).mp3,118.0,False,True,True,True,True,True,2.0,1.0,1.0
DJ Denise & Justin Johnson - Big Drips (Original Mix).mp3,128.0,True,True,True,True,True,True,2.0,0.0,0.0
DJ Jackpine - I Let It Hurt (Original Mix).mp3,122.0,True,True,True,True,True,True,2.0,0.0,0.0
DJ Yovan ft Claire Hayek - Fast Lane (Original Mix).mp3,122.0,True,True,True,True,True,True,2.0,0.0,0.0
David Guetta vs Benson Boone - Mystical Magical X Titanium (DJ Dann Mashup).mp3,126.0,True,True,True,True,True,True,2.0,0.0,0.0
"Ed Case, Oggie - The Night Is Young (Original Mix).mp3",128.0,True,True,True,True,True,True,2.0,0.0,0.0
Elexa Tesla & Toxic Positivity - Power To Change Freedom To Live (Instrumental With Male Vocal Gay Pride 2025).mp3,126.0,True,True,True,True,True,True,2.0,0.0,0.0
Eremos Music Factory - Sotto Il Sole Dagosto (Original Mix).mp3,120.0,True,True,True,True,True,True,2.0,0.0,0.0
Kenszey - Green (Original Mix).mp3,128.0,True,True,True,True,True,True,2.0,0.0,1.0
Kice - Falling For You (Original Mix).mp3,100.0,False,False,False,False,False,False,2.0,0.0,0.0
"Pabanor, The Mad Stuntman Reel 2 Real - Gotta Look Good (Dunglow Remix).mp3",126.0,True,True,True,True,True,True,2.0,0.0,0.0
Rolling Pistons - Good For Me (Original Mix).mp3,124.0,True,True,True,True,True,True,2.0,0.0,1.0
Srj - If Youre Askin Then Im Dancin (Original Mix).mp3,128.0,True,True,True,True,True,True,2.0,1.0,1.0
Tennant - On The Floor (Extended).mp3,128.0,True,True,True,True,True,True,2.0,0.0,0.0
The Dallas Remix Djz - La Cumbia Primera (Crunk Cumbia Remix).mp3,130.0,True,True,True,True,True,True,2.0,0.0,0.0
Vanessa Lynnae - You And Me (Dirty).mp3,118.0,True,True,True,True,True,True,2.0,1.0,2.0
Junes Daughter - Sorrow (Original Mix).mp3,117.0,False,False,False,False,False,False,2.0,0.5,1.5
Donfrmthe319 - Habits (Dirty).mp3,166.0,False,True,False,True,True,True,2.0,7.0,8.0
Donfrmthe319 - Urus (Dirty).mp3,116.0,True,True,True,True,True,True,2.0,0.0,3.0
Pradateek & Rhymster - Flagrant (Dirty).mp3,152.0,True,True,False,True,True,True,2.0,3.0,3.0
Shemaiah A Reed - Healing In The 6 (Dirty).mp3,164.0,False,True,False,True,True,True,2.0,2.0,5.5
