name,ref,rung,md_acc1,md_acc2,v3s1_acc1,v3s1_acc2,v2_acc1,v2_acc2,lane_hops,flips_smoothed,first_lock_s
DJ R Kay - No Other Name (Original Mix).mp3,113.0,tag,True,True,True,True,,,0.0,0.0,0.57
Davide Randazzo - Lost In The World (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,1.6,0.28
Kanterra - Je Taime (Original Mix).mp3,123.0,tag,True,True,True,True,,,1.2,3.2,0.45
Nicholas Bridgman - What You Think (Original Mix).mp3,100.0,tag,True,True,False,True,,,0.8,0.8,0.3
Numa X Tsie - Blood In The Water (Original Mix).mp3,118.0,tag,True,True,True,True,,,6.8,10.4,0.8
Prince - Back To Earth (Original Mix).mp3,130.0,tag,True,True,True,True,,,4.8,12.8,1.32
Tech It Deep X Miky La Sensa X J8man - Hey Eivissa (Extended).mp3,122.0,tag,True,True,True,True,,,0.0,0.8,0.37
Wav Addicts - Bloom (Original Mix).mp3,126.0,tag,True,True,True,True,,,4.4,4.8,1.02
Bodo Bifroest - I Never Call You Mine (Original Mix).mp3,100.0,tag,True,True,False,True,,,0.8,0.8,0.3
Bodo Bifroest - Sussura Inferorum (Original Mix).mp3,160.0,tag,False,False,True,True,,,6.4,8.8,0.65
DJ Oc - Dream Nation Part 1 (Original Mix).mp3,85.0,tag,False,True,False,True,,,0.8,3.2,0.73
G7ow3oy - Mercury Retro (Instrumental).mp3,100.0,tag,True,True,False,True,,,12.4,25.6,0.6
G7ow3oy - Sound (Instrumental).mp3,80.0,tag,False,False,False,False,,,10.96,19.18,1.02
I Am Me - Soul Contract (Original Mix).mp3,108.0,tag,True,True,False,False,,,2.4,2.4,0.3
Kumacole - Down Slow (Original Mix).mp3,112.0,tag,True,True,False,True,,,1.2,4.8,0.55
Mariatti - Tsundoku (Original Mix).mp3,100.0,tag,True,True,False,False,,,0.0,0.8,0.48
Mr Nic - Samsara (Original Mix).mp3,191.0,tag,True,True,False,True,,,5.2,10.4,0.4
Nyko Ren - Miss Me (Original Mix).mp3,118.0,tag,True,True,True,True,,,2.4,3.2,0.58
Simonne Draper - Eclipse Jon Kennedy Remix (Original Mix).mp3,121.0,tag,False,True,True,True,,,0.0,0.8,0.33
Tmcg - 2025 Freestyle Beat (Instrumental).mp3,73.0,tag,False,True,False,True,,,0.0,0.8,0.37
Tmcg - The Update (Instrumental).mp3,162.0,tag,False,True,True,True,,,3.6,6.4,0.28
Tommy Nietz - Screwing Up The World (Original Mix).mp3,70.0,tag,False,True,False,True,,,0.8,1.6,1.02
Anthony David X DJ Queen Bee - For The Longest Time (Original Mix).mp3,108.0,tag,False,True,False,True,False,False,8.0,23.2,0.82
Circuit Haze - William Byron (Original Mix).mp3,86.0,tag,False,True,False,False,False,True,0.0,1.6,0.43
H2so4 ft Mavis - Frequency (Original Mix).mp3,86.0,tag,False,True,False,True,False,True,0.8,0.8,0.72
Hplus - Me Feel (Original Mix).mp3,164.0,tag,True,True,True,True,False,True,0.4,3.6,0.4
Hplus - What If (Original Mix).mp3,169.0,tag,True,True,False,False,False,True,4.8,8.8,1.02
Jordanlivingood - All The Time (Original Mix).mp3,87.0,tag,False,True,False,True,False,True,0.8,0.8,0.72
Juvenile - Lalalalala (Remix).mp3,84.0,owner,False,True,False,False,False,True,1.6,3.2,0.37
Poni Punkflwr & Fisherboi - Pink Tongue (Original Mix).mp3,166.0,tag,True,True,True,True,False,True,0.8,3.2,0.37
Poni Punkflwr & Fisherboi - The 2nd Rip (Original Mix).mp3,171.0,tag,True,True,True,True,False,True,0.0,0.0,0.37
Roderic H - Miss You (Original Mix).mp3,174.0,tag,True,True,True,True,False,True,0.8,2.4,0.48
Rodney Kamal Jackson - Turista (Original Mix).mp3,100.0,tag,True,True,False,True,False,True,0.0,0.8,0.48
Route 94 ft Jess Glynne - My Love (Catchfraze Remix).mp3,173.0,tag,True,True,True,True,False,True,8.8,16.8,0.63
Sn - No10 Get The Fuck Out (Original Mix).mp3,174.0,tag,True,True,True,True,False,True,0.0,0.8,0.4
Sn - Witch Turning To Myth (Original Mix).mp3,170.0,tag,True,True,False,False,False,True,2.4,6.4,0.57
Unsolicited Thoughts - The Day Phil Collins Stopped Caring (Original Mix).mp3,148.0,tag,True,True,True,True,False,True,1.2,3.2,1.02
d - Kennys Sister (Original Mix).mp3,118.0,tag,False,True,True,True,True,True,0.0,0.0,0.35
Black Majestic - We In The Know (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,0.0,0.5
Cosme De La Cruz - Clash (Original Mix).mp3,97.0,tag,False,True,False,True,,,0.4,1.6,0.63
Cosme De La Cruz - Now (Original Mix).mp3,75.0,tag,False,True,False,True,,,0.0,0.0,0.42
DJ Ouijah - Ouijah Says (Original Mix).mp3,91.0,tag,False,True,False,True,,,2.53,9.09,0.35
Daniel Brink - Midmix (Original Mix).mp3,83.0,tag,False,True,False,True,,,0.0,0.4,0.4
Dmstry ft Temwani Daka - Soar (Original Mix).mp3,143.0,tag,True,True,True,True,,,6.0,12.8,0.73
Hvrcrft - Hvrcrft X Layne Tadesse Champion (Original Mix).mp3,150.0,tag,True,True,True,True,,,0.0,0.8,0.33
Kingston Ray - Street Dance Choko (Original Mix).mp3,97.0,tag,True,True,False,True,,,2.8,6.4,0.6
Kuhlosul - Nocturnal (Original Mix).mp3,70.0,tag,False,True,False,True,,,1.64,2.45,1.02
Rico21 - Silence (Original Mix).mp3,70.0,tag,False,True,False,True,,,1.2,5.6,1.73
Rory David - Take Me To Hell (Original Mix).mp3,71.0,tag,False,True,False,True,,,2.8,9.2,0.67
S1ms - U (Original Mix).mp3,72.0,tag,False,True,False,True,,,3.6,6.4,0.87
Tatiana Kurtukova - Matushka (Eliza May Remix).mp3,94.0,tag,False,True,False,True,,,2.0,4.8,0.48
Xygnomus - Time (Original Mix).mp3,140.0,tag,False,False,True,True,,,2.8,12.0,1.02
Afrotricks - In Motion (Original Mix).mp3,128.0,tag,True,True,True,True,,,2.4,3.2,0.68
Ammo Singh - Mystery (Original Mix).mp3,120.0,tag,True,True,True,True,,,0.0,0.8,0.43
Anyma - Voices In My Head (Dash Hype Remix).mp3,128.0,tag,True,True,True,True,,,2.0,3.6,0.5
Berani - Wherever (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.0,4.49,0.3
Chillz Cagney - Jus Show Love (Original Mix).mp3,115.0,tag,True,True,False,True,,,0.0,0.8,0.68
Chris Di Amato - Titans (Original Mix).mp3,122.0,tag,True,True,True,True,,,0.0,0.8,0.55
Jojo J - Here We Go (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,3.2,0.63
Mottmuzik ft Jones - Feel The Drop (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.0,0.8,0.4
Natalie Smith Lee & Twilight Vision Music - Lets Entertain (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0,0.48
Outspoken The Emcee - Two Disloyal Menz (Original Mix).mp3,79.0,tag,False,True,False,True,,,1.6,5.6,0.35
Pitbull X Mr President - Give Me Jambo (Funny Cats 995 Remix).mp3,128.0,tag,True,True,True,True,,,0.4,0.8,0.28
Shake God - Snake Charmer (Future Tech Remix).mp3,135.0,tag,True,True,True,True,,,3.2,8.4,0.6
Vigion - Malcolm (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0,0.48
Young Soulja The Realest - Get Freaky (Acapella Dirty).mp3,120.0,tag,False,True,False,False,,,13.6,31.6,1.02
Young Soulja The Realest - Sexual Healin (Acapella Dirty).mp3,120.0,tag,True,True,True,True,,,7.6,22.4,1.02
Zilwanka - Hurt It (Original Mix).mp3,122.0,tag,True,True,True,True,,,1.6,2.4,0.45
Allcapsallan - Pressure (Dirty).mp3,103.0,tag,True,True,False,True,,,0.8,1.6,0.3
Allcapsallan - Trauma Bond (Dirty).mp3,167.0,tag,True,True,True,True,,,3.6,6.4,0.72
Bloodshed Redd - Battle Worlds Thru Gods Parallel (Dirty).mp3,191.0,tag,False,True,False,True,,,1.6,5.6,0.6
Bobby Wolf - Real One (Dirty).mp3,192.0,tag,False,True,False,True,,,2.0,7.2,0.68
Dirty Clanzmen West ft Cappadonna Dremon Sage Badweather & Mr That Part - Mantis vs Scorpion (Dirty).mp3,198.0,tag,True,True,False,True,,,4.0,10.4,0.88
Drum Majors Atl - We The Future Fool (Instrumental).mp3,130.0,tag,True,True,True,True,,,3.25,6.49,0.37
Fiya Flamez ft Main4eva - Code Of A G (Dirty).mp3,142.0,tag,True,True,True,True,,,0.0,0.8,0.45
G H Original Soundtrack Mayne - I Wish (Dirty).mp3,159.0,tag,True,True,True,True,,,2.0,9.6,1.02
Hit Man Slade - Flame On (Dirty).mp3,151.0,tag,True,True,True,True,,,0.4,8.0,0.48
Itum - 2 Feelin Myself Pt 5 (Instrumental).mp3,57.0,tag,False,True,False,False,,,0.4,4.0,0.48
Johnny Afro - Slap Thrills (Instrumental).mp3,104.0,tag,True,True,False,False,,,0.0,0.8,0.48
Juby Dagod - Starxing (Dirty).mp3,65.0,tag,False,True,False,True,,,4.0,6.0,0.58
Macrath ft Tush Woski - What I Do Remix (Dirty).mp3,90.0,tag,False,True,False,True,,,0.0,0.81,0.28
Moolah Rich - Encore (Dirty).mp3,80.0,tag,False,True,False,True,,,2.0,5.6,0.42
Taye Blues - Gtth (Dirty).mp3,68.0,tag,False,True,False,True,,,0.52,7.26,0.48
The Light - Grindin (Dirty).mp3,109.0,tag,True,True,True,True,,,3.0,10.0,0.58
Troy Nōka - The Price Of Ambition (Dirty).mp3,130.0,tag,True,True,True,True,,,0.0,1.6,0.28
"V E G A, Fayn - Concrete Jungle (Dirty).mp3",78.0,tag,False,True,False,True,,,0.4,16.4,0.8
DJ Denise & Justin Johnson - Big Drips (Original Mix).mp3,128.0,tag,True,True,True,True,True,True,0.0,0.0,0.48
DJ Jackpine - I Let It Hurt (Original Mix).mp3,122.0,tag,True,True,True,True,True,True,0.0,1.2,0.42
DJ Yovan ft Claire Hayek - Fast Lane (Original Mix).mp3,122.0,tag,True,True,True,True,True,True,0.8,1.6,0.28
David Guetta vs Benson Boone - Mystical Magical X Titanium (DJ Dann Mashup).mp3,126.0,tag,True,True,True,True,True,True,0.0,0.8,0.37
"Ed Case, Oggie - The Night Is Young (Original Mix).mp3",128.0,tag,True,True,True,True,True,True,0.0,0.0,0.48
Elexa Tesla & Toxic Positivity - Power To Change Freedom To Live (Instrumental With Male Vocal Gay Pride 2025).mp3,126.0,tag,True,True,True,True,True,True,0.0,0.8,0.6
Eremos Music Factory - Sotto Il Sole Dagosto (Original Mix).mp3,120.0,tag,True,True,True,True,True,True,4.4,10.0,0.45
Kenszey - Green (Original Mix).mp3,128.0,tag,True,True,True,True,True,True,0.0,0.0,0.48
Kice - Falling For You (Original Mix).mp3,100.0,tag,False,False,False,False,False,False,2.0,7.2,0.9
"Pabanor, The Mad Stuntman Reel 2 Real - Gotta Look Good (Dunglow Remix).mp3",126.0,tag,True,True,True,True,True,True,0.0,0.8,0.4
Rolling Pistons - Good For Me (Original Mix).mp3,124.0,tag,True,True,True,True,True,True,0.8,0.8,0.83
Srj - If Youre Askin Then Im Dancin (Original Mix).mp3,128.0,tag,True,True,True,True,True,True,0.8,1.6,1.02
Tennant - On The Floor (Extended).mp3,128.0,tag,True,True,True,True,True,True,0.0,1.2,0.48
The Dallas Remix Djz - La Cumbia Primera (Crunk Cumbia Remix).mp3,130.0,tag,True,True,True,True,True,True,0.0,0.0,0.48
Vanessa Lynnae - You And Me (Dirty).mp3,118.0,tag,True,True,True,True,True,True,2.0,4.0,0.4
Avc - Cant Fake The Funk (Extended Mix).mp3,124.0,tag,True,True,True,True,,,0.0,0.8,0.65
"Beyonce, Jjs Bounty Hunterz - Cuff It Beats From Jjm Soul Train Remix (Original Mix).mp3",125.0,tag,True,True,True,True,,,0.0,0.0,0.48
Danny Jay The Doctor - Dance All Night (Original Radio Edit).mp3,123.0,tag,True,True,True,True,,,6.8,15.2,0.68
Dick Hieronymus & Jimmy Michaels ft Zia Pia - Ask Me To Dance 2026 (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.8,0.8,0.83
Gregory R Beauvoir - Heart Lost And Found (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.8,0.42
Interlectra - Better Now (Extended Mix).mp3,126.0,tag,True,True,True,True,,,0.4,0.8,0.72
Interview - Season After Season Space Mix (Original Mix).mp3,120.0,tag,True,True,True,True,,,1.2,6.4,0.65
Isy Cappo - Dancefloor (Original Mix).mp3,115.0,tag,True,True,True,True,,,0.0,1.6,0.82
Kestrel - Apricot Sunshine (Original Mix).mp3,132.0,tag,True,True,True,True,,,3.2,6.4,0.42
La Foudre ft Blackbird - Le Cap (Original Mix).mp3,111.0,tag,True,True,False,False,,,2.06,4.12,1.02
Made Of Sand - This Girl That Boy (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.8,0.8,0.28
Nevi Outlyr - Stuck (Original Mix).mp3,79.0,tag,False,True,False,True,,,0.4,0.8,0.6
Sara Océan - Bonnie And Clyde (Original Mix).mp3,198.0,tag,False,True,False,True,,,1.2,4.8,0.35
Tanayzha - Like Tk Smoov (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,0.8,0.4
Alex4beats - Lies (Extended Mix).mp3,123.0,owner,True,True,False,True,,,3.2,7.2,0.67
Audio Assailant - Thunder Chicken (Original Mix).mp3,132.0,tag,True,True,True,True,,,0.0,0.8,0.37
Ckay - Safe (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.8,2.8,0.63
Ckcette - The Same Sea (Original Mix).mp3,125.0,tag,True,True,True,True,,,2.0,10.4,0.57
DJ Tab - Alive (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.8,4.4,1.1
Dave Tsimba - Essntl (Original Mix).mp3,118.0,tag,True,True,False,False,,,2.45,2.86,0.78
Everything But The Girl - Missing (Tj Lawton Remix).mp3,101.0,tag,False,False,False,False,,,1.6,7.6,0.6
Paul Oakenfold X Grace - Not Over Yet (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.4,10.4,0.4
Pepstar - Midnight Pulse (Original Mix).mp3,123.0,tag,True,True,True,True,,,0.0,0.0,0.5
Romeo Saints - Summer Solstice Dream (Original Mix).mp3,126.0,tag,True,True,True,True,,,1.6,4.0,0.42
Sander Wilder - A Part Of Me (Original Mix).mp3,124.0,tag,True,True,False,True,,,0.0,0.4,0.52
The Nott - You Cant Understand (Original Mix).mp3,131.0,tag,True,True,True,True,,,0.0,0.8,0.35
Vinnie Jinn - The Sound Of Chimes (Original Mix).mp3,127.0,tag,True,True,True,True,,,0.0,0.0,0.48
500 Bc - Love You (Original).mp3,183.0,tag,False,True,False,True,,,2.4,5.6,0.52
Brandes Lavierre ft Chisongwriter - Michael Jaxson (Dirty).mp3,71.0,tag,False,True,False,True,,,5.6,8.8,1.02
Jmusiz - Loverush1 (Dirty).mp3,187.0,tag,False,True,False,True,,,0.0,1.6,0.55
Kevin Allure - Like It Nasty (Dirty).mp3,160.0,owner,True,True,True,True,,,0.0,0.8,0.42
Kevin Allure - Thing 4 U (Dirty).mp3,180.0,tag,True,True,False,True,,,4.0,6.8,0.68
Kevin Allure - Tuned In (Dirty).mp3,160.0,tag,True,True,True,True,,,3.18,9.54,0.42
The Light - Proceed (Dirty).mp3,157.0,owner,True,True,True,True,,,0.0,5.27,0.28
Alvin Anthony - Ever Since U Left Me French Montana Clean (Alvin Anthony Remix).mp3,124.0,tag,True,True,True,True,,,0.8,6.8,0.42
Andrew Terpo - Stay Up (Extended).mp3,128.0,tag,True,True,True,True,,,0.0,0.4,0.5
Boncybee - Cloud Remix By Greg Bayley (Club Mix Extended).mp3,130.0,tag,True,True,True,True,,,0.0,5.6,0.52
DJ Nagrim - Dom Dolla Dreamin Remix (Original Mix).mp3,128.01,essentia,True,True,True,True,,,0.0,0.8,0.63
DJ Sideline - Life On The Edge (Original Mix).mp3,122.0,tag,True,True,True,True,,,0.0,0.8,0.42
Davesoul ft Yaa Pono - My Way (Original Mix).mp3,121.0,tag,False,False,False,False,,,5.17,12.93,1.02
"Doja Cat, Torey Whom - Paint The Town Red (Torey Whom Remix).mp3",135.0,tag,True,True,True,True,,,0.0,0.8,0.4
Edward Sharpe And The Magnetic Zeros - Home (Trillivm Remix).mp3,124.0,tag,True,True,True,True,,,0.0,0.95,0.55
Ezhk - Bout U (Original Mix).mp3,127.0,tag,True,True,False,False,,,0.0,3.6,0.42
Franck Vellah - Check This (Extended).mp3,127.0,tag,True,True,True,True,,,0.0,0.0,0.52
Indigo AM - Okay (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.4,1.6,0.5
Jozik - Stasis (Original Mix).mp3,128.0,tag,True,True,True,True,,,3.15,5.25,0.42
Ma3sc3ol - Angels Tears (Original Mix).mp3,128.0,tag,True,True,True,True,,,3.6,9.6,0.67
Ma3sc3ol - Noite Na Favela (Original Mix).mp3,102.0,tag,True,True,False,True,,,4.8,10.4,0.63
Ren Trey - Dance All Night & Dance All Day (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,1.6,0.43
Vakhtang Iluridze - Filth (Original Mix).mp3,126.0,tag,True,True,False,True,,,0.0,0.0,0.5
Zaknex X Valentina Dimas X Franco - El Hacha (Remix).mp3,125.0,tag,True,True,True,True,,,0.0,0.8,0.52
Cloi - New York Ride (Original Mix).mp3,132.0,tag,True,True,True,True,,,0.0,0.8,0.52
DJ Majestik - Revolutions (Original Mix).mp3,128.0,tag,True,True,True,True,,,1.6,1.6,0.48
Ep2k - Materia Elementares (Original Mix).mp3,103.0,tag,False,True,True,True,,,0.0,0.0,0.3
Imdat Besikci - Raqasa Original Mix 140 Bpm 05A (Original Mix).mp3,140.0,tag,True,True,True,True,,,0.0,2.47,0.65
Jaydan Wolf & Jauri - 1234 (Extended Mix).mp3,80.0,tag,False,True,False,True,,,0.0,11.2,0.33
Ke7in - Revolution (Original Mix).mp3,138.0,tag,True,True,True,True,,,0.0,1.6,0.63
Kelthraxx - Misyon Enposib (Original Mix).mp3,112.0,tag,True,True,False,False,,,1.2,4.0,0.68
Lorien Testard - Lumiere (Unf0ld Remix).mp3,73.0,tag,False,True,False,True,,,0.4,4.8,0.43
Marexon - Digital (Original Mix).mp3,145.0,tag,True,True,True,True,,,0.0,0.8,0.35
Mouth Of Life - Feminine Mix (Original Mix).mp3,150.0,tag,True,True,False,False,,,0.54,16.06,0.4
ORealitea - Let Me Take You (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.8,1.6,1.02
Pepstar - Kozmik (Original Mix).mp3,128.0,tag,True,True,True,True,,,6.4,14.4,0.6
Riccardo Brush - Another Day (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,2.4,0.4
Teriaki - Cyber Future (Artis Gato Remix).mp3,124.0,tag,True,True,True,True,,,0.8,1.6,0.98
Alexander Clayton - Logic Error Human (Original Mix).mp3,133.0,tag,True,True,True,True,,,4.8,11.2,0.8
Alexander Clayton - Sleep Loop Collapse (Original Mix).mp3,131.0,tag,True,True,True,True,,,3.6,11.6,0.67
Ariel Baum - Alterion (Original Mix).mp3,137.0,tag,True,True,True,True,,,0.8,4.8,0.57
Craig Lowrey - Alone (Extended Mix).mp3,138.0,tag,True,True,True,True,,,0.0,4.0,0.37
DJ Gerard - Ankaa (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.4,0.8,0.67
DJ Tommy B - Dont Wanna (Original Mix).mp3,128.0,owner,True,True,True,True,,,0.0,0.8,0.55
Inevitable - The Music Plays Forever (Original Mix).mp3,135.0,tag,True,True,True,True,,,0.0,1.6,0.67
Spaz - Transfixed (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.0,2.4,0.42
Vincent Nova - Everlasting (Extended Mix).mp3,139.0,tag,True,True,True,True,,,0.0,0.8,0.57
Vjorka - 4Ever (Extended Mix).mp3,145.0,tag,True,True,True,True,,,2.4,12.4,0.5
Époque Noir - All I Need (Original Mix).mp3,130.0,tag,True,True,True,True,,,2.4,4.8,1.13
Dolothaproducer ft Lost Ones - Cinderella In The Trap (Dirty).mp3,65.0,tag,False,True,False,True,False,True,1.8,2.7,1.7
Dolothaproducer ft Lost Ones - Honest Hustle (Dirty).mp3,63.0,tag,False,True,False,True,False,True,0.0,0.98,0.5
Dolothaproducer ft Lost Ones - I Talk Trap Like A Preacher (Dirty).mp3,70.0,tag,False,True,False,True,False,True,0.0,0.0,0.43
Donfrmthe319 - Back Of The Trap (Dirty).mp3,126.0,tag,True,True,True,True,True,True,0.0,0.0,0.5
Donfrmthe319 - Habits (Dirty).mp3,166.0,tag,True,True,True,True,False,True,0.8,2.4,0.78
Donfrmthe319 - Speeding Off (Dirty).mp3,180.0,tag,False,True,False,True,False,True,0.8,0.8,0.35
Donfrmthe319 - Urus (Dirty).mp3,116.0,tag,True,True,False,True,True,True,2.26,14.49,0.37
Itum - Minions (Dirty).mp3,75.0,tag,False,True,False,True,False,True,1.2,4.8,0.5
Jay Twotimes - Laugh Emojis (Dirty).mp3,170.0,tag,True,True,False,False,False,True,6.0,14.8,0.75
