name,ref,rung,md_p50,md_tail,md_acc1,md_acc2,md_acc1_tail,md_acc2_tail,v2,v2_acc1,v2_acc2,v3,v3_acc1,v3_acc2,first_lock_s,first_lock_bpm,flips_raw,flips_smoothed,lane_hops
Poni Punkflwr & Fisherboi - The 2nd Rip (Original Mix).mp3,171.0,tag,171.43,171.43,True,True,True,True,114.8,False,True,171.4,True,True,0.37,162.16,13.0,0.0,0.0
Roderic H - Miss You (Original Mix).mp3,174.0,tag,176.47,176.47,True,True,True,True,117.9,False,True,177.5,True,True,0.78,76.92,57.0,4.0,1.0
Rodney Kamal Jackson - Turista (Original Mix).mp3,100.0,tag,100.0,100.0,True,True,True,True,133.8,False,True,134.5,False,True,0.48,122.45,7.0,4.0,2.0
Route 94 ft Jess Glynne - My Love (Catchfraze Remix).mp3,173.0,tag,171.43,171.43,True,True,True,True,118.2,False,True,176.2,True,True,0.63,96.77,51.0,19.0,12.5
Sn - No10 Get The Fuck Out (Original Mix).mp3,174.0,tag,176.47,176.47,True,True,True,True,118.8,False,True,177.5,True,True,0.4,153.85,51.5,1.0,0.0
Sn - Witch Turning To Myth (Original Mix).mp3,170.0,tag,171.43,171.43,True,True,True,True,114.9,False,True,117.9,False,False,0.57,105.26,50.0,8.0,3.0
Unsolicited Thoughts - The Day Phil Collins Stopped Caring (Original Mix).mp3,148.0,tag,146.34,146.34,True,True,True,True,100.1,False,True,133.6,False,False,1.02,58.82,70.0,5.0,3.5
d - Kennys Sister (Original Mix).mp3,118.0,tag,176.47,176.47,False,True,False,True,118.0,True,True,119.5,True,True,0.37,162.16,21.5,0.0,0.0
DJ Denise & Justin Johnson - Big Drips (Original Mix).mp3,128.0,tag,127.66,127.66,True,True,True,True,129.3,True,True,129.9,True,True,0.48,127.66,9.0,2.0,0.5
DJ Jackpine - I Let It Hurt (Original Mix).mp3,122.0,tag,122.45,122.45,True,True,True,True,122.8,True,True,123.8,True,True,0.42,146.34,29.0,1.0,0.0
DJ Yovan ft Claire Hayek - Fast Lane (Original Mix).mp3,122.0,tag,122.45,122.45,True,True,True,True,122.9,True,True,123.8,True,True,0.28,214.29,29.5,2.5,1.0
David Guetta vs Benson Boone - Mystical Magical X Titanium (DJ Dann Mashup).mp3,126.0,tag,125.0,125.0,True,True,True,True,127.7,True,True,127.2,True,True,0.37,162.16,27.5,2.0,0.0
"Ed Case, Oggie - The Night Is Young (Original Mix).mp3",128.0,tag,127.66,127.66,True,True,True,True,128.9,True,True,129.9,True,True,0.48,125.0,5.0,0.0,0.0
Elexa Tesla & Toxic Positivity - Power To Change Freedom To Live (Instrumental With Male Vocal Gay Pride 2025).mp3,126.0,tag,125.0,125.0,True,True,True,True,128.7,True,True,127.2,True,True,0.6,100.0,19.0,1.0,0.0
Eremos Music Factory - Sotto Il Sole Dagosto (Original Mix).mp3,120.0,tag,120.0,120.0,True,True,True,True,122.3,True,True,121.2,True,True,0.45,133.33,16.0,12.0,5.5
Kenszey - Green (Original Mix).mp3,128.0,tag,127.66,127.66,True,True,True,True,129.6,True,True,129.0,True,True,0.48,122.45,9.5,0.0,0.0
Kice - Falling For You (Original Mix).mp3,100.0,tag,125.0,125.0,False,False,False,False,125.0,False,False,166.7,False,False,0.9,65.93,22.5,7.0,2.5
"Pabanor, The Mad Stuntman Reel 2 Real - Gotta Look Good (Dunglow Remix).mp3",126.0,tag,125.0,125.0,True,True,True,True,127.7,True,True,128.1,True,True,0.28,214.29,45.5,1.0,0.5
Rolling Pistons - Good For Me (Original Mix).mp3,124.0,tag,125.0,125.0,True,True,True,True,124.3,True,True,125.5,True,True,0.83,71.43,20.0,1.0,1.0
Srj - If Youre Askin Then Im Dancin (Original Mix).mp3,128.0,tag,127.66,127.66,True,True,True,True,129.8,True,True,129.9,True,True,1.02,58.82,3.0,2.0,1.0
Tennant - On The Floor (Extended).mp3,128.0,tag,127.66,127.66,True,True,True,True,129.8,True,True,129.9,True,True,0.48,125.0,1.0,0.0,0.0
The Dallas Remix Djz - La Cumbia Primera (Crunk Cumbia Remix).mp3,130.0,tag,130.43,130.43,True,True,True,True,130.9,True,True,131.7,True,True,0.48,122.45,22.5,0.0,0.0
Vanessa Lynnae - You And Me (Dirty).mp3,118.0,tag,117.65,117.65,True,True,True,True,118.0,True,True,118.7,True,True,0.4,150.0,3.5,4.0,4.0
Junes Daughter - Sorrow (Original Mix).mp3,117.0,tag,146.34,146.34,False,False,False,False,98.7,False,False,148.2,False,False,0.55,111.11,8.0,1.0,0.0
Donfrmthe319 - Habits (Dirty).mp3,166.0,tag,166.67,166.67,True,True,True,True,109.9,False,True,166.7,True,True,0.78,77.92,34.0,2.5,1.0
Donfrmthe319 - Urus (Dirty).mp3,116.0,tag,115.38,115.38,True,True,True,True,117.8,True,True,120.4,True,True,0.52,113.21,29.5,11.0,1.0
Pradateek & Rhymster - Flagrant (Dirty).mp3,152.0,tag,153.85,153.85,True,True,True,True,103.2,False,True,154.5,True,True,0.83,71.43,50.5,17.0,5.5
Shemaiah A Reed - Healing In The 6 (Dirty).mp3,164.0,tag,82.19,82.19,False,True,False,True,112.5,False,True,157.7,True,True,0.57,107.14,26.5,4.0,0.0
