name,ref,rung,bt_acc1,bt_acc2,v3s1_acc1,v3s1_acc2,v2_acc1,v2_acc2,lane_hops,flips_smoothed
Davide Randazzo - Lost In The World (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,1.6
Kanterra - Je Taime (Original Mix).mp3,123.0,tag,True,True,True,True,,,0.0,0.0
Nicholas Bridgman - What You Think (Original Mix).mp3,100.0,tag,True,True,False,True,,,0.0,0.8
Numa X Tsie - Blood In The Water (Original Mix).mp3,118.0,tag,True,True,True,True,,,0.4,4.0
Prince - Back To Earth (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.0,2.4
Tech It Deep X Miky La Sensa X J8man - Hey Eivissa (Extended).mp3,122.0,tag,True,True,True,True,,,0.0,1.6
Wav Addicts - Bloom (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
Bodo Bifroest - I Never Call You Mine (Original Mix).mp3,100.0,tag,True,True,False,True,,,0.0,0.8
Bodo Bifroest - Sussura Inferorum (Original Mix).mp3,160.0,tag,False,True,True,True,,,0.8,1.6
DJ Oc - Dream Nation Part 1 (Original Mix).mp3,85.0,tag,True,True,False,True,,,0.4,1.6
G7ow3oy - Mercury Retro (Instrumental).mp3,100.0,tag,True,True,False,True,,,2.0,12.8
G7ow3oy - Sound (Instrumental).mp3,80.0,tag,False,False,False,False,,,0.91,15.98
I Am Me - Soul Contract (Original Mix).mp3,108.0,tag,True,True,False,False,,,0.0,0.8
Kumacole - Down Slow (Original Mix).mp3,112.0,tag,True,True,False,True,,,0.0,4.0
Mariatti - Tsundoku (Original Mix).mp3,100.0,tag,True,True,False,False,,,0.0,0.8
Mr Nic - Samsara (Original Mix).mp3,191.0,tag,False,True,False,True,,,0.0,1.6
Nyko Ren - Miss Me (Original Mix).mp3,118.0,tag,True,True,True,True,,,0.0,3.2
Simonne Draper - Eclipse Jon Kennedy Remix (Original Mix).mp3,121.0,tag,True,True,True,True,,,0.0,1.6
Tmcg - 2025 Freestyle Beat (Instrumental).mp3,73.0,tag,False,True,False,True,,,0.0,0.8
Tmcg - The Update (Instrumental).mp3,162.0,tag,False,True,True,True,,,0.8,1.6
Tommy Nietz - Screwing Up The World (Original Mix).mp3,70.0,tag,False,True,False,True,,,0.0,2.4
Anthony David X DJ Queen Bee - For The Longest Time (Original Mix).mp3,108.0,tag,False,True,False,True,False,False,1.2,5.2
Circuit Haze - William Byron (Original Mix).mp3,86.0,tag,False,True,False,False,False,True,0.8,7.2
H2so4 ft Mavis - Frequency (Original Mix).mp3,86.0,tag,True,True,False,True,False,True,0.0,2.4
Hplus - Me Feel (Original Mix).mp3,164.0,tag,False,True,True,True,False,True,0.0,3.2
Hplus - What If (Original Mix).mp3,169.0,tag,False,True,False,False,False,True,0.0,0.8
Jordanlivingood - All The Time (Original Mix).mp3,87.0,tag,True,True,False,True,False,True,0.0,0.8
Juvenile - Lalalalala (Remix).mp3,84.0,owner,True,True,False,False,False,True,0.8,3.2
Poni Punkflwr & Fisherboi - Pink Tongue (Original Mix).mp3,166.0,tag,False,True,True,True,False,True,0.8,3.2
Poni Punkflwr & Fisherboi - The 2nd Rip (Original Mix).mp3,171.0,tag,False,True,True,True,False,True,0.0,4.0
Roderic H - Miss You (Original Mix).mp3,174.0,tag,False,True,True,True,False,True,0.0,2.4
Rodney Kamal Jackson - Turista (Original Mix).mp3,100.0,tag,True,True,False,True,False,True,0.0,0.8
Route 94 ft Jess Glynne - My Love (Catchfraze Remix).mp3,173.0,tag,False,True,True,True,False,True,0.4,2.8
Sn - No10 Get The Fuck Out (Original Mix).mp3,174.0,tag,False,True,True,True,False,True,0.0,0.8
Sn - Witch Turning To Myth (Original Mix).mp3,170.0,tag,False,True,False,False,False,True,0.0,4.8
Unsolicited Thoughts - The Day Phil Collins Stopped Caring (Original Mix).mp3,148.0,tag,True,True,True,True,False,True,0.0,1.6
d - Kennys Sister (Original Mix).mp3,118.0,tag,False,True,True,True,True,True,0.0,0.84
Black Majestic - We In The Know (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,0.0
Cosme De La Cruz - Clash (Original Mix).mp3,97.0,tag,True,True,False,True,,,0.0,0.8
Cosme De La Cruz - Now (Original Mix).mp3,75.0,tag,False,True,False,True,,,0.0,0.8
DJ Ouijah - Ouijah Says (Original Mix).mp3,91.0,tag,True,True,False,True,,,0.0,4.04
Daniel Brink - Midmix (Original Mix).mp3,83.0,tag,True,True,False,True,,,0.0,2.4
Dmstry ft Temwani Daka - Soar (Original Mix).mp3,143.0,tag,True,True,True,True,,,0.0,2.0
Hvrcrft - Hvrcrft X Layne Tadesse Champion (Original Mix).mp3,150.0,tag,True,True,True,True,,,0.0,0.8
Kingston Ray - Street Dance Choko (Original Mix).mp3,97.0,tag,True,True,False,True,,,0.0,2.4
Kuhlosul - Nocturnal (Original Mix).mp3,70.0,tag,False,True,False,True,,,0.0,0.0
Rico21 - Silence (Original Mix).mp3,70.0,tag,False,True,False,True,,,1.2,4.0
Rory David - Take Me To Hell (Original Mix).mp3,71.0,tag,False,False,False,True,,,0.0,2.4
S1ms - U (Original Mix).mp3,72.0,tag,False,True,False,True,,,0.0,0.8
Tatiana Kurtukova - Matushka (Eliza May Remix).mp3,94.0,tag,True,True,False,True,,,0.0,0.8
Xygnomus - Time (Original Mix).mp3,140.0,tag,True,True,True,True,,,0.4,2.8
Afrotricks - In Motion (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,1.6
Ammo Singh - Mystery (Original Mix).mp3,120.0,tag,True,True,True,True,,,0.0,4.0
Anyma - Voices In My Head (Dash Hype Remix).mp3,128.0,tag,True,True,True,True,,,0.0,3.2
Berani - Wherever (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.0,0.9
Chillz Cagney - Jus Show Love (Original Mix).mp3,115.0,tag,True,True,False,True,,,0.0,1.6
Chris Di Amato - Titans (Original Mix).mp3,122.0,tag,True,True,True,True,,,0.0,0.0
Jojo J - Here We Go (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,1.6
Mottmuzik ft Jones - Feel The Drop (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.0,1.6
Natalie Smith Lee & Twilight Vision Music - Lets Entertain (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Outspoken The Emcee - Two Disloyal Menz (Original Mix).mp3,79.0,tag,False,True,False,True,,,0.8,2.4
Pitbull X Mr President - Give Me Jambo (Funny Cats 995 Remix).mp3,128.0,tag,True,True,True,True,,,0.0,0.8
Shake God - Snake Charmer (Future Tech Remix).mp3,135.0,tag,True,True,True,True,,,0.0,3.2
Vigion - Malcolm (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.8,1.6
Young Soulja The Realest - Get Freaky (Acapella Dirty).mp3,120.0,tag,False,True,False,False,,,0.0,10.4
Young Soulja The Realest - Sexual Healin (Acapella Dirty).mp3,120.0,tag,True,True,True,True,,,0.0,7.2
Zilwanka - Hurt It (Original Mix).mp3,122.0,tag,True,True,True,True,,,0.0,0.0
Allcapsallan - Pressure (Dirty).mp3,103.0,tag,True,True,False,True,,,0.0,2.4
Allcapsallan - Trauma Bond (Dirty).mp3,167.0,tag,False,True,True,True,,,0.8,5.6
Bloodshed Redd - Battle Worlds Thru Gods Parallel (Dirty).mp3,191.0,tag,False,True,False,True,,,0.0,0.8
Bobby Wolf - Real One (Dirty).mp3,192.0,tag,False,True,False,True,,,0.0,3.2
Dirty Clanzmen West ft Cappadonna Dremon Sage Badweather & Mr That Part - Mantis vs Scorpion (Dirty).mp3,198.0,tag,False,True,False,True,,,0.0,4.8
Drum Majors Atl - We The Future Fool (Instrumental).mp3,130.0,tag,True,True,True,True,,,0.41,3.25
Fiya Flamez ft Main4eva - Code Of A G (Dirty).mp3,142.0,tag,True,True,True,True,,,0.0,0.8
G H Original Soundtrack Mayne - I Wish (Dirty).mp3,159.0,tag,True,True,True,True,,,0.0,0.8
Hit Man Slade - Flame On (Dirty).mp3,151.0,tag,True,True,True,True,,,1.2,2.4
Itum - 2 Feelin Myself Pt 5 (Instrumental).mp3,57.0,tag,False,True,False,False,,,0.0,0.0
Johnny Afro - Slap Thrills (Instrumental).mp3,104.0,tag,True,True,False,False,,,0.0,1.6
Juby Dagod - Starxing (Dirty).mp3,65.0,tag,False,True,False,True,,,0.0,0.8
Macrath ft Tush Woski - What I Do Remix (Dirty).mp3,90.0,tag,True,True,False,True,,,0.0,0.81
Moolah Rich - Encore (Dirty).mp3,80.0,tag,False,True,False,True,,,2.4,4.0
Taye Blues - Gtth (Dirty).mp3,68.0,tag,False,True,False,True,,,0.0,2.07
The Light - Grindin (Dirty).mp3,109.0,tag,True,True,True,True,,,0.0,5.0
Troy Nōka - The Price Of Ambition (Dirty).mp3,130.0,tag,True,True,True,True,,,0.4,2.4
"V E G A, Fayn - Concrete Jungle (Dirty).mp3",78.0,tag,False,True,False,True,,,0.4,4.0
DJ Denise & Justin Johnson - Big Drips (Original Mix).mp3,128.0,tag,True,True,True,True,True,True,0.0,0.0
DJ Jackpine - I Let It Hurt (Original Mix).mp3,122.0,tag,True,True,True,True,True,True,0.0,0.0
DJ Yovan ft Claire Hayek - Fast Lane (Original Mix).mp3,122.0,tag,True,True,True,True,True,True,0.0,1.6
David Guetta vs Benson Boone - Mystical Magical X Titanium (DJ Dann Mashup).mp3,126.0,tag,True,True,True,True,True,True,0.0,0.0
"Ed Case, Oggie - The Night Is Young (Original Mix).mp3",128.0,tag,True,True,True,True,True,True,0.0,0.0
Elexa Tesla & Toxic Positivity - Power To Change Freedom To Live (Instrumental With Male Vocal Gay Pride 2025).mp3,126.0,tag,True,True,True,True,True,True,0.0,0.0
Eremos Music Factory - Sotto Il Sole Dagosto (Original Mix).mp3,120.0,tag,True,True,True,True,True,True,0.0,0.0
Kenszey - Green (Original Mix).mp3,128.0,tag,True,True,True,True,True,True,0.0,0.0
Kice - Falling For You (Original Mix).mp3,100.0,tag,False,False,False,False,False,False,0.0,0.8
"Pabanor, The Mad Stuntman Reel 2 Real - Gotta Look Good (Dunglow Remix).mp3",126.0,tag,True,True,True,True,True,True,0.0,0.0
Rolling Pistons - Good For Me (Original Mix).mp3,124.0,tag,True,True,True,True,True,True,0.0,0.0
Srj - If Youre Askin Then Im Dancin (Original Mix).mp3,128.0,tag,True,True,True,True,True,True,0.0,0.0
Tennant - On The Floor (Extended).mp3,128.0,tag,True,True,True,True,True,True,0.0,0.0
The Dallas Remix Djz - La Cumbia Primera (Crunk Cumbia Remix).mp3,130.0,tag,True,True,True,True,True,True,0.0,0.0
Vanessa Lynnae - You And Me (Dirty).mp3,118.0,tag,True,True,True,True,True,True,0.0,1.6
Avc - Cant Fake The Funk (Extended Mix).mp3,124.0,tag,True,True,True,True,,,0.0,0.0
"Beyonce, Jjs Bounty Hunterz - Cuff It Beats From Jjm Soul Train Remix (Original Mix).mp3",125.0,tag,True,True,True,True,,,0.0,0.0
Danny Jay The Doctor - Dance All Night (Original Radio Edit).mp3,123.0,tag,True,True,True,True,,,0.0,3.2
Dick Hieronymus & Jimmy Michaels ft Zia Pia - Ask Me To Dance 2026 (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.0,0.0
Gregory R Beauvoir - Heart Lost And Found (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Interlectra - Better Now (Extended Mix).mp3,126.0,tag,True,True,True,True,,,0.0,1.6
Interview - Season After Season Space Mix (Original Mix).mp3,120.0,tag,True,True,True,True,,,0.0,0.0
Isy Cappo - Dancefloor (Original Mix).mp3,115.0,tag,True,True,True,True,,,0.0,1.6
Kestrel - Apricot Sunshine (Original Mix).mp3,132.0,tag,True,True,True,True,,,0.4,3.2
La Foudre ft Blackbird - Le Cap (Original Mix).mp3,111.0,tag,True,True,False,False,,,0.0,2.47
Made Of Sand - This Girl That Boy (Original Mix).mp3,124.0,tag,True,True,True,True,,,0.0,0.0
Nevi Outlyr - Stuck (Original Mix).mp3,79.0,tag,False,True,False,True,,,0.0,2.4
Sara Océan - Bonnie And Clyde (Original Mix).mp3,198.0,tag,False,True,False,True,,,0.4,1.6
Tanayzha - Like Tk Smoov (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,1.6
Alex4beats - Lies (Extended Mix).mp3,123.0,owner,True,True,False,True,,,0.0,2.0
Audio Assailant - Thunder Chicken (Original Mix).mp3,132.0,tag,True,True,True,True,,,0.0,0.0
Ckay - Safe (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.0,1.6
Ckcette - The Same Sea (Original Mix).mp3,125.0,tag,True,True,True,True,,,0.0,1.6
DJ Tab - Alive (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.8,3.2
Dave Tsimba - Essntl (Original Mix).mp3,118.0,tag,True,True,False,False,,,0.0,1.63
Everything But The Girl - Missing (Tj Lawton Remix).mp3,101.0,tag,False,False,False,False,,,0.0,0.0
Paul Oakenfold X Grace - Not Over Yet (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Pepstar - Midnight Pulse (Original Mix).mp3,123.0,tag,True,True,True,True,,,0.0,1.6
Romeo Saints - Summer Solstice Dream (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.8
Sander Wilder - A Part Of Me (Original Mix).mp3,124.0,tag,True,True,False,True,,,0.0,0.0
The Nott - You Cant Understand (Original Mix).mp3,131.0,tag,True,True,True,True,,,0.0,0.0
Vinnie Jinn - The Sound Of Chimes (Original Mix).mp3,127.0,tag,True,True,True,True,,,0.0,0.0
500 Bc - Love You (Original).mp3,183.0,tag,False,True,False,True,,,0.0,4.0
Brandes Lavierre ft Chisongwriter - Michael Jaxson (Dirty).mp3,71.0,tag,False,True,False,True,,,0.0,3.2
Jmusiz - Loverush1 (Dirty).mp3,187.0,tag,False,True,False,True,,,0.0,0.8
Kevin Allure - Like It Nasty (Dirty).mp3,160.0,owner,True,True,True,True,,,1.6,2.4
Kevin Allure - Thing 4 U (Dirty).mp3,180.0,tag,False,True,False,True,,,0.0,0.8
Kevin Allure - Tuned In (Dirty).mp3,160.0,tag,True,True,True,True,,,0.45,5.45
The Light - Proceed (Dirty).mp3,157.0,owner,True,True,True,True,,,0.41,4.06
Alvin Anthony - Ever Since U Left Me French Montana Clean (Alvin Anthony Remix).mp3,124.0,tag,True,True,True,True,,,0.0,0.0
Andrew Terpo - Stay Up (Extended).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Boncybee - Cloud Remix By Greg Bayley (Club Mix Extended).mp3,130.0,tag,True,True,True,True,,,0.0,1.6
DJ Nagrim - Dom Dolla Dreamin Remix (Original Mix).mp3,128.01,essentia,True,True,True,True,,,0.0,0.0
DJ Sideline - Life On The Edge (Original Mix).mp3,122.0,tag,True,True,True,True,,,0.0,0.0
Davesoul ft Yaa Pono - My Way (Original Mix).mp3,121.0,tag,False,False,False,False,,,0.0,2.59
"Doja Cat, Torey Whom - Paint The Town Red (Torey Whom Remix).mp3",135.0,tag,True,True,True,True,,,0.0,0.8
Edward Sharpe And The Magnetic Zeros - Home (Trillivm Remix).mp3,124.0,tag,True,True,True,True,,,0.0,1.9
Ezhk - Bout U (Original Mix).mp3,127.0,tag,True,True,False,False,,,2.0,4.8
Franck Vellah - Check This (Extended).mp3,127.0,tag,True,True,True,True,,,0.0,0.0
Indigo AM - Okay (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Jozik - Stasis (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,2.1
Ma3sc3ol - Angels Tears (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.4,4.0
Ma3sc3ol - Noite Na Favela (Original Mix).mp3,102.0,tag,True,True,False,True,,,0.0,2.8
Ren Trey - Dance All Night & Dance All Day (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
Vakhtang Iluridze - Filth (Original Mix).mp3,126.0,tag,True,True,False,True,,,0.0,0.0
Zaknex X Valentina Dimas X Franco - El Hacha (Remix).mp3,125.0,tag,True,True,True,True,,,0.0,0.0
Cloi - New York Ride (Original Mix).mp3,132.0,tag,True,True,True,True,,,0.0,0.0
DJ Majestik - Revolutions (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Ep2k - Materia Elementares (Original Mix).mp3,103.0,tag,True,True,True,True,,,0.0,0.8
Imdat Besikci - Raqasa Original Mix 140 Bpm 05A (Original Mix).mp3,140.0,tag,True,True,True,True,,,0.82,4.12
Jaydan Wolf & Jauri - 1234 (Extended Mix).mp3,80.0,tag,False,True,False,True,,,0.0,0.8
Ke7in - Revolution (Original Mix).mp3,138.0,tag,True,True,True,True,,,0.0,0.0
Kelthraxx - Misyon Enposib (Original Mix).mp3,112.0,tag,True,True,False,False,,,0.0,0.8
Lorien Testard - Lumiere (Unf0ld Remix).mp3,73.0,tag,False,True,False,True,,,0.0,0.8
Marexon - Digital (Original Mix).mp3,145.0,tag,True,True,True,True,,,0.4,3.2
Mouth Of Life - Feminine Mix (Original Mix).mp3,150.0,tag,True,True,False,False,,,1.07,6.42
ORealitea - Let Me Take You (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.0,3.2
Pepstar - Kozmik (Original Mix).mp3,128.0,tag,True,True,True,True,,,0.8,2.4
Riccardo Brush - Another Day (Original Mix).mp3,126.0,tag,True,True,True,True,,,0.0,0.0
Teriaki - Cyber Future (Artis Gato Remix).mp3,124.0,tag,True,True,True,True,,,0.0,0.0
Alexander Clayton - Logic Error Human (Original Mix).mp3,133.0,tag,False,False,True,True,,,0.8,12.8
Alexander Clayton - Sleep Loop Collapse (Original Mix).mp3,131.0,tag,True,True,True,True,,,0.0,6.4
Ariel Baum - Alterion (Original Mix).mp3,137.0,tag,True,True,True,True,,,0.8,4.8
Craig Lowrey - Alone (Extended Mix).mp3,138.0,tag,False,True,True,True,,,0.4,1.6
DJ Gerard - Ankaa (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.0,0.0
DJ Tommy B - Dont Wanna (Original Mix).mp3,128.0,owner,True,True,True,True,,,0.0,0.0
Inevitable - The Music Plays Forever (Original Mix).mp3,135.0,tag,True,True,True,True,,,0.0,1.6
Spaz - Transfixed (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.4,1.6
Vincent Nova - Everlasting (Extended Mix).mp3,139.0,tag,True,True,True,True,,,0.0,0.8
Vjorka - 4Ever (Extended Mix).mp3,145.0,tag,True,True,True,True,,,0.4,3.2
Époque Noir - All I Need (Original Mix).mp3,130.0,tag,True,True,True,True,,,0.4,4.0
Dolothaproducer ft Lost Ones - Cinderella In The Trap (Dirty).mp3,65.0,tag,False,True,False,True,False,True,0.45,5.4
Dolothaproducer ft Lost Ones - Honest Hustle (Dirty).mp3,63.0,tag,False,True,False,True,False,True,0.0,0.0
Dolothaproducer ft Lost Ones - I Talk Trap Like A Preacher (Dirty).mp3,70.0,tag,False,True,False,True,False,True,0.0,0.92
Donfrmthe319 - Back Of The Trap (Dirty).mp3,126.0,tag,True,True,True,True,True,True,0.0,0.0
Donfrmthe319 - Habits (Dirty).mp3,166.0,tag,False,True,True,True,False,True,0.8,1.6
Donfrmthe319 - Speeding Off (Dirty).mp3,180.0,tag,False,True,False,True,False,True,0.0,3.2
Donfrmthe319 - Urus (Dirty).mp3,116.0,tag,True,True,False,True,True,True,0.0,4.53
Itum - Minions (Dirty).mp3,75.0,tag,False,True,False,True,False,True,0.0,0.8
Jay Twotimes - Laugh Emojis (Dirty).mp3,170.0,tag,False,True,False,False,False,True,0.8,12.0
Mortal Being - Cyberpunk Edgerunners 2077 (Dirty).mp3,141.0,tag,True,True,True,True,True,True,0.0,2.4
Pradateek & Rhymster - Flagrant (Dirty).mp3,152.0,tag,True,True,True,True,False,True,0.4,5.6
Rhymster - Blimp In The Sky (Dirty).mp3,186.0,tag,False,True,False,False,False,False,0.0,2.4
Rhymster - Closer (Dirty).mp3,196.0,tag,False,True,False,False,False,True,0.0,0.8
Rhymster - I Am Not (Dirty).mp3,102.0,tag,False,False,False,True,False,False,1.01,4.03
Shemaiah A Reed - Healing In The 6 (Dirty).mp3,164.0,tag,False,True,True,True,False,True,0.0,3.87
Shemaiah A Reed - Summer Nights (Dirty).mp3,70.0,tag,False,True,False,True,False,True,0.8,3.2
Shemaiah A Reed - Swag Overload (Dirty).mp3,69.0,tag,False,True,False,True,False,True,0.0,1.2
Shemaiah A Reed - They Talking Now (Dirty).mp3,140.0,tag,True,True,True,True,True,True,0.4,4.0
Snowraw - Texas (Dirty).mp3,79.0,tag,False,True,False,True,False,True,0.4,2.4
Staylowwww - Murder He Wrote (Dirty).mp3,162.0,tag,False,False,False,False,False,True,0.4,8.8
Tone Da Boss & Chisongwriter - Back Up (Dirty).mp3,140.0,tag,True,True,True,True,False,False,0.0,1.2
Anzo - Madonna Hung Up Anzo Remix (Playable Demo).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Ashanti - Rock Wit U (Nylze Edit).mp3,114.0,tag,True,True,False,True,,,0.0,0.8
Chuckie & LMFAO - Let The Bass Kick In Miami Bitch (Hayat & Vandija Club Edit).mp3,130.0,tag,True,True,True,True,,,0.0,0.8
Diogo Costa - Turn Me On (Remix).mp3,128.0,tag,True,True,True,True,,,0.0,0.0
Fergie & Wil I Am vs Jaden Bojsen & David Guetta - Fergalicious (DJ Roller Lets Go Edit).mp3,129.0,tag,True,True,True,True,,,0.0,0.0
Frankie Goes To Hollywood - Relax (Magix First Mix).mp3,125.0,tag,True,True,True,True,,,0.0,0.0
